uri,language,group,categories,physical_fatigue,mental_cognitive_fatigue,emotional_fatigue,digital_social_fatigue,existential_resignation
https://toot.lgbt/users/not_a_label/statuses/114714567127406985,en,en,mental_cognitive_fatigue,0.0,0.95,0.0,0.0,0.0
https://silversword.online/users/dragmine149/statuses/114712836404199101,en,en,mental_cognitive_fatigue,0.0,0.95,0.0,0.0,0.0
https://official.resource.org/users/carlmalamud/statuses/114712870143440978,en,en,digital_social_fatigue,0.0,0.0,0.0,0.7,0.0
https://mstdn.bdms.ca/users/Martin/statuses/114694362647074826,en,en,mental_cognitive_fatigue,0.0,0.95,0.0,0.0,0.0
https://roko.basilisk.technology/users/6ff334e/statuses/114714774366882116,en,en,digital_social_fatigue,0.0,0.0,0.0,0.95,0.0
https://mastodon.social/users/bcpaws4ever/statuses/114714929735213179,en,en,physical_fatigue,0.95,0.0,0.0,0.0,0.0
https://mastodon.social/users/urlyman/statuses/114714899621487034,en,en,digital_social_fatigue,0.0,0.0,0.0,0.95,0.0
https://mastodon.social/users/cobratbq/statuses/114714757753550342,en,en,emotional_fatigue,0.0,0.0,0.95,0.0,0.0
https://mastodon.social/users/Zeninform/statuses/114714752330718900,en,en,emotional_fatigue,0.0,0.0,0.95,0.0,0.0
https://mastodon.online/users/50years_music/statuses/114714378446885150,en,en,emotional_fatigue,0.0,0.0,0.95,0.0,0.0
https://aus.social/users/KarenWyld/statuses/114714397798172643,en,en,digital_social_fatigue;emotional_fatigue,0.0,0.0,0.85,0.95,0.0
https://toot.cat/users/rnd/statuses/114714421782683946,en,en,digital_social_fatigue,0.0,0.0,0.0,0.95,0.0
https://gamedev.lgbt/users/bram/statuses/114714506112000654,en,en,emotional_fatigue,0.0,0.0,0.9,0.0,0.0
https://mas.to/users/Lady_Noremon/statuses/114714069590042571,en,en,physical_fatigue;emotional_fatigue,0.85,0.0,0.6,0.0,0.0
https://vmst.io/users/maikel/statuses/114713962260446872,en,en,physical_fatigue,0.95,0.0,0.0,0.0,0.0
https://aus.social/users/NickSchwanck/statuses/114713521353226774,en,en,digital_social_fatigue,0.0,0.0,0.0,0.95,0.0
https://wandering.shop/users/abetterjulie/statuses/114713244012606543,en,en,emotional_fatigue,0.0,0.0,0.95,0.0,0.0
https://mastodon.social/users/bcpaws4ever/statuses/114713203753833623,en,en,physical_fatigue,0.95,0.0,0.0,0.0,0.0
https://mastodon.social/users/cobratbq/statuses/114713109691499793,en,en,emotional_fatigue;digital_social_fatigue,0.0,0.0,0.95,0.75,0.0
https://mastodon.social/users/kwas_na/statuses/114713101571127256,en,en,physical_fatigue,0.95,0.0,0.0,0.0,0.0
https://infosec.exchange/users/cesarpose/statuses/114712633242165233,en,en,mental_cognitive_fatigue;emotional_fatigue,0.0,0.95,0.75,0.0,0.0
https://mastodon.social/users/puran/statuses/114712622421494988,en,en,physical_fatigue;mental_cognitive_fatigue,0.85,0.75,0.0,0.0,0.0
https://mastodon.social/users/evcricket/statuses/114712559145730575,en,en,physical_fatigue,0.95,0.0,0.0,0.0,0.0
https://mastodon.online/users/kardinal691/statuses/114711938750827587,en,en,physical_fatigue,0.95,0.0,0.0,0.0,0.0
https://pouet.chapril.org/users/Greguti/statuses/114711933583648410,en,en,digital_social_fatigue,0.0,0.0,0.0,0.95,0.0
https://mstdn.ca/users/TheresaReason/statuses/114711770305609794,en,en,emotional_fatigue,0.0,0.0,0.95,0.0,0.0
https://social.lol/users/ericmwalk/statuses/114711769733854506,en,en,physical_fatigue,0.95,0.0,0.0,0.0,0.0
https://vmst.io/users/jalefkowit/statuses/114711737469284208,en,en,emotional_fatigue,0.0,0.0,0.95,0.0,0.0
https://mastodon.world/users/NoRomBasic/statuses/114711525745013574,en,en,emotional_fatigue,0.0,0.0,0.95,0.0,0.0
https://aethy.com/users/Lilithrabbit/statuses/114711636543351235,en,en,physical_fatigue,0.8,0.0,0.0,0.0,0.0
https://lile.cl/users/adriano/statuses/114711580223076508,en,en,digital_social_fatigue,0.0,0.0,0.0,0.95,0.0
https://mas.to/users/lhgmk2/statuses/114711346317421159,en,en,physical_fatigue,0.95,0.0,0.0,0.0,0.0
https://outerheaven.club/objects/5a6b63b4-e536-4236-9cfc-1ac8c446a1a9,en,en,physical_fatigue,0.95,0.0,0.0,0.0,0.0
